,acc_phone_x,acc_phone_y,acc_phone_z,gyr_phone_x,gyr_phone_y,gyr_phone_z,labelswalkingStairs,labelsnonSpecific,labelsshoesOnOff,labelsonTable,labelswalking,labelsrunning,labelssitting,light_phone_lux,mag_phone_x,mag_phone_y,mag_phone_z
2021-06-08 20:39:18.938794880,1.3549358248500003,-0.64115683437,9.7743215561,0.00021304659314000003,0.001171756337899995,-0.0023168817947499852,0,0,0,0,0,0,1,4.900000095,14.096855736,9.57309581756,-50.1205271908
2021-06-08 20:39:19.188794880,1.3564740647142854,-0.6651762156190475,9.778355144380955,-0.0002663082613952382,-0.001065232990523805,0.000944760285809519,0,0,0,0,0,0,1,5.099999905,14.0592797848,9.59895980828,-50.166886901199994
2021-06-08 20:39:19.438794880,1.3640285432500001,-0.6502495586949999,9.784610700600002,0.00021304661360000012,0.00042609324469999497,-0.0004527240539500001,0,0,0,0,0,0,1,4.699999809,14.037319718,9.64385574352,-50.1288227852
2021-06-08 20:39:19.688794880,1.36857490545,-0.647557634105,9.76140022275,0.00013949478683809518,-0.0038551289503809517,-0.000323374321714281,0,0,0,0,0,0,1,4.699999809,14.02463173,9.676063881040001,-50.175182800799995
2021-06-08 20:39:19.938794880,1.3715146666190474,-0.6551206537761904,9.780861990809525,-0.0027696058940099998,-0.0002130466050500002,-0.001464695400399995,0,0,0,0,0,0,1,4.699999809,14.0051116576,9.62140789036,-50.1556632996
2021-06-08 20:39:20.188794880,1.37623193265,-0.65240309834,9.777432251050001,-0.0009054480498599998,0.0003195699188499949,-0.0015712186765,0,0,0,0,0,0,1,4.400000095,14.0246316916,9.612135849,-50.092710724
2021-06-08 20:39:20.438794880,1.37312126755,-0.66101725698,9.7822178841,-0.0018108961550649997,-0.00015978495364999992,-0.001304910430799995,0,0,0,0,0,0,1,5.099999905,14.0495197308,9.78879184716,-50.206903227599994
2021-06-08 20:39:20.688794880,1.36642137175,-0.664127934,9.779824972099998,-0.0010779143305761905,-0.0006087044740476193,-0.000982804309857143,0,0,0,0,0,0,1,4.650000095,13.912879676400001,9.644343757719998,-50.1517591848
2021-06-08 20:39:20.938794880,1.3735656455238097,-0.6507907878809526,9.776532127666664,0.0035152689728899997,-0.00053261650020001,0.0001331541120499949,0,0,0,0,0,0,1,5.099999905,13.9411837384,9.7151037598,-50.1932388296
2021-06-08 20:39:21.188794880,1.3585250557000002,-0.6432804614200001,9.7779107571,-0.0010119713405149998,-0.00015978495354999997,-0.000878817248949995,0,0,0,0,0,0,1,5.099999905,13.9982796484,9.616527862559998,-50.16493530240001
2021-06-08 20:39:21.438794880,1.3915460108999997,-0.65742802323,9.78006434445,0.002130466059385,5.326165130000004e-05,0.0021038352454,0,0,0,0,0,0,1,4.900000095,13.906047822,9.578463821480002,-50.13370315519999
2021-06-08 20:39:21.688794880,1.3562461762380953,-0.6394248831904763,9.780634017238093,0.0005452978740761905,0.0014203106761904764,0.0001838795115714333,0,0,0,0,0,0,1,4.799999952,14.0148716728,9.48183998108,-50.184943694800005
2021-06-08 20:39:21.938794880,1.3740784168,-0.6492625117300002,9.779825115200001,-0.0015445879167099998,0.00021304660480000009,0.0006657706588500051,0,0,0,0,0,0,1,5.099999905,14.034879761599997,9.53161586748,-50.20446304319999
2021-06-08 20:39:22.188794880,1.3752748132000001,-0.647617453345,9.776235914249998,0.00170437283224,0.0003728315583999949,0.00199731192835,0,0,0,0,0,0,1,4.699999809,14.0026717752,9.58675991068,-50.13663085880001
2021-06-08 20:39:22.438794880,1.358752943190476,-0.656288589752381,9.76787222009524,-0.00244749970257619,5.072538214285708e-05,-0.0007291773439047523,0,0,0,0,0,0,1,4.699999809,14.50628769,10.12990375516,-50.15956680239999
2021-06-08 20:39:22.688794880,1.3702498912499999,-0.6439683944000001,9.782217836400001,0.00191741946039,0.00223698932669999,7.989250745000507e-05,0,0,0,0,0,0,1,4.799999952,14.561919708,10.067927665920001,-50.0985670484
2021-06-08 20:39:22.938794880,1.35254300235,-0.65551376641,9.77025375375,-0.0005858781543250001,-0.00079892480285,0.0016777420126499998,0,0,0,0,0,0,1,4.699999809,14.729791718000001,10.28947979,-50.1419995116
2021-06-08 20:39:23.188794880,1.3573856128571429,-0.6407352373714286,9.780178206333332,0.00024094557612857142,-0.0003043523037142857,-0.0014393327208095238,0,0,0,0,0,0,1,4.900000095,14.7541917408,10.239215849999999,-50.0936869804
2021-06-08 20:39:23.438794880,1.3704891800999999,-0.6612565427999999,9.7688180925,-0.0009587097099149998,-0.0022902509781499896,0.00087881729110001,0,0,0,0,0,0,1,4.900000095,14.620479698399999,10.07231975532,-50.2093428028
2021-06-08 20:39:23.688794880,1.3688141943,-0.65120667814,9.7834142685,-0.0017576344720099998,-5.3261662900005136e-05,-0.0030625449594999855,0,0,0,0,0,0,1,5.0,14.6951436992,10.256783751599999,-50.1351670844
2021-06-08 20:39:23.938794880,1.3860425175,-0.653120949865,9.778628635399999,-0.001171756305905,0.000319569918750005,-0.00029293905519999495,0,0,0,0,0,0,1,5.099999905,14.671231728,10.225063858,-50.2234951784
2021-06-08 20:39:24.188794880,1.3680963403333333,-0.6528702662047619,9.767416500000001,-0.001990971222009524,-0.0006594299560952381,0.00013315414471429035,0,0,0,0,0,0,1,4.699999809,14.7317436596,10.272399749199998,-50.124430694000004
2021-06-08 20:39:24.438794880,1.3733605564,-0.669152855875,9.778628683099999,0.0009054480468400003,0.0003195698954,-0.0014114337230499902,0,0,0,0,0,0,1,4.699999809,14.746871604799999,10.329007721599998,-50.1097908012
2021-06-08 20:39:24.688794880,1.36689993145,-0.6581159651249999,9.772167968649999,0.0024500359955450008,-0.00021304660435001992,0.0017310036972499998,0,0,0,0,0,0,1,4.549999952,14.7468716444,10.354383927599999,-50.174694977600005
2021-06-08 20:39:24.938794880,1.3757533787499998,-0.6379564315049999,9.779825019799999,0.0006924014943999999,-0.000159784930449985,-0.00055924731855,0,0,0,0,0,0,1,5.099999905,14.768343735199998,10.3529198464,-50.13467910839999
2021-06-08 20:39:25.188794880,1.3779069184999997,-0.654317358145,9.770493030499999,0.00031956991879500006,0.00026630825590000007,0.0013049104616000002,0,0,0,0,0,0,1,5.099999905,14.765415687199999,10.231407928,-50.1873831184
2021-06-08 20:39:25.438794880,1.36737849125,-0.6428317964050001,9.777192974150001,0.000585878163095,-0.0011717563261500002,0.00039946238405,0,0,0,0,0,0,1,4.900000095,14.688799704400001,10.317295799599998,-50.174695129599996
2021-06-08 20:39:25.688794880,1.3757533789499998,-0.6487540393950001,9.7764750481,-0.0010652330151149998,0.002023942733649995,-0.00141143373605,0,0,0,0,0,0,1,4.899999857,14.560943717999999,10.10940773084,-50.220079038799994
2021-06-08 20:39:25.938794880,1.3702498912999999,-0.64468623996,9.78413219455,-0.00015978499721500003,-0.0005326164652500048,0.0018907886304999999,0,0,0,0,0,0,1,5.099999905,14.5463036356,9.96837581632,-50.227398985600004
2021-06-08 20:39:26.188794880,1.3628321290500003,-0.6554539471949998,9.790353488849998,-0.0012808159449571425,0.0018261137219999998,-0.0006277266226666618,0,0,0,0,0,0,1,4.699999809,14.521903572000001,9.88199981676,-50.22837493880001
2021-06-08 20:39:26.438794880,1.3810859577142858,-0.6460336333238095,9.765593483285715,0.00085218643367,-0.0004260932211999949,0.0015179570778500052,0,0,0,0,0,0,1,5.099999905,14.497503699600001,9.89956783276,-50.1683509816
2021-06-08 20:39:26.688794880,1.35804647805,-0.6468996048000001,9.77838935845,0.00010652330233999993,-0.0009054480470500001,0.0001864158054000051,0,0,0,0,0,0,1,4.899999857,14.499455680799999,9.89761581432,-50.04976730400001
2021-06-08 20:39:26.938794880,1.3817354380500002,-0.64612193406,9.7726465226,-0.0025565592426099997,-0.0022369893384499803,-0.002742975005699995,0,0,0,0,0,0,1,4.699999809,14.853743629599998,10.26800788772,-50.23179092320001
2021-06-08 20:39:27.188794880,1.3807783008499999,-0.6586244404349999,9.7843714238,-0.0017043728495599948,0.0005326166051500051,-0.00013315411339998503,0,0,0,0,0,0,1,5.099999905,14.588271598800002,9.86540775336,-50.279127349199996
